Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Radko Gudas,Washington,RD,75,1,27,28,8,91,0,1,1,0,1,1,0,0,0,0,71,1.4,39,42,151,0,119,33,1,2,0,0,1,1,19:34,0:16,1:28,96,88,0,6.68,
Jeff Carter,Ontario,C,52,14,13,27,-12,22,0,0,0,0,0,0,2,0,2,0,75,18.7,28,7,16,0.49,46,11,0,0,0,0,0,0,13:56,0:14,0:36,37,49,0,6.67,
Carter Ashton,New Jersey,RW/LW,76,12,15,27,-24,20,0,1,1,0,0,0,0,0,0,0,139,8.6,73,23,21,0.00,36,10,0,0,0,0,0,0,13:45,0:10,0:21,39,63,0,6.66,
Alan Quine,Detroit,C/LW/RW,61,11,16,27,-43,10,0,1,1,0,0,0,2,0,3,0,115,9.6,5,9,29,0.55,50,5,0,0,0,0,0,0,13:29,0:03,0:00,33,76,0,6.41,
Matt Calvert,Los Angeles,LW/RW,77,9,18,27,-11,2,0,0,0,0,0,0,1,0,1,0,166,5.4,26,26,42,0,30,1,0,0,0,0,0,0,12:50,0:03,0:11,44,55,0,6.86,
Casey Cizikas,Bridgeport,C,56,9,18,27,-14,15,0,0,0,0,0,0,1,0,2,0,90,10.0,10,3,35,0.49,44,5,1,0,0,0,1,0,12:50,0:00,0:00,31,45,0,6.48,
Vitali Kravtsov,Hartford,RW,63,9,18,27,-24,20,1,3,4,0,0,0,0,1,1,0,121,7.4,27,17,13,0.00,27,10,0,0,0,0,0,0,14:42,1:06,0:01,38,62,1,6.73,
Jesper Sellgren,Charlotte,LD/RD,59,6,21,27,-10,12,0,0,0,0,0,0,1,0,0,0,95,6.3,7,12,13,0,28,6,0,0,0,0,0,0,15:49,0:00,0:02,48,58,1,6.78,
Chris Tanev,Vancouver,RD,81,3,24,27,0,12,0,3,3,0,0,0,0,0,0,0,87,3.4,26,41,212,0,151,6,0,0,0,0,0,0,17:58,0:12,1:17,81,81,0,7.11,
Vasili Glotov,Rochester,C,49,15,11,26,7,6,0,0,0,0,0,0,1,1,2,0,82,18.3,6,11,6,0.35,21,3,0,0,0,0,0,0,12:27,0:00,0:00,36,29,0,7.08,
