Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,Av R,
Kevin Hayes,Carolina,C/LW,82,11,28,39,-1,12,0,0,0,0,0,0,1,1,0,0,110,10.0,14,11,53,0.45,61,6,0,0,0,0,0,0,12:53,0:00,1:16,49,50,0,6.71,
Sebastian Aho,NY Islanders,LD/RD,82,7,32,39,-23,16,1,8,9,0,0,0,2,0,2,0,150,4.7,10,31,59,0,95,8,0,0,0,0,0,0,19:56,1:19,0:45,86,109,1,7.10,
Ryan Pulock,Buffalo,RD,76,7,32,39,-5,24,2,3,5,0,0,0,0,0,0,0,135,5.2,21,38,272,0,122,12,0,0,0,0,0,0,21:39,1:21,1:15,98,103,1,7.17,
Milovan Gragnani,Minnesota,LD/RD,82,4,35,39,4,6,1,8,9,0,0,0,0,0,0,0,108,3.7,20,24,103,0,99,3,0,0,0,0,0,0,19:06,2:12,1:09,87,83,3,7.24,
Anthony DeAngelo,NY Rangers,RD/LD,81,4,35,39,17,48,0,4,4,0,1,1,0,0,1,0,140,2.9,66,33,88,0,175,24,0,0,0,0,0,0,21:36,0:50,2:15,108,91,0,7.54,
Ty Dellandrea,Buffalo,C,81,19,19,38,-4,6,0,0,0,0,0,0,3,1,2,0,137,13.9,9,19,125,0.52,71,3,0,0,0,0,0,0,14:28,0:00,0:46,58,62,1,6.48,
Erion Krantz,Pittsburgh,RW/C,82,19,19,38,-23,14,4,1,5,0,0,0,0,0,1,0,196,9.7,145,22,0,1.00,29,7,0,0,0,0,0,0,13:24,0:48,0:01,48,71,0,7.20,
Joshua Norris,Buffalo,C,80,18,20,38,-20,8,0,0,0,0,0,0,4,0,3,0,123,14.6,23,21,166,0.47,80,4,0,0,0,0,0,0,14:14,0:00,0:38,50,70,0,6.60,
Zemgus Girgensons,San Jose,LW/C,69,18,20,38,2,10,0,0,0,0,0,0,1,1,0,0,164,11.0,34,19,89,0.00,35,5,0,0,0,0,0,0,15:11,0:00,0:55,59,57,0,6.87,
Chris Kreider,NY Rangers,LW,74,18,20,38,16,42,0,0,0,0,0,0,2,2,1,0,161,11.2,72,9,56,0.00,56,16,0,1,0,0,0,0,13:12,0:00,0:45,52,36,1,7.45,
Mason McTavish,Wilkes-Barre/Scranton,C/RW,80,17,21,38,-16,16,1,0,1,0,0,0,3,0,1,0,83,20.5,92,10,2,0.55,72,8,0,0,0,0,0,0,13:09,0:09,1:15,46,62,1,6.57,
Tyson Jost,NY Rangers,C/LW,52,17,21,38,2,24,0,0,0,0,0,0,4,0,3,0,98,17.3,24,3,20,0.55,41,12,0,0,0,0,0,0,13:16,0:09,0:04,53,51,1,7.04,
Vasili Ponomaryov,New Jersey,C/RW,71,16,22,38,-21,16,3,3,6,0,0,0,3,0,1,0,137,11.7,18,10,2,0.39,24,8,0,0,0,0,0,0,14:16,0:34,0:00,42,63,1,6.69,
Evgeni Malkin,Carolina,C,52,14,24,38,-9,16,1,0,1,0,0,0,1,2,2,0,80,17.5,11,5,53,0.59,33,8,0,0,0,0,0,0,15:46,0:14,0:49,52,61,3,7.06,
Alessandro O'Bonsawin,Detroit,RW,82,14,24,38,-57,20,0,0,0,0,0,0,1,0,2,0,113,12.4,12,19,14,0,25,5,0,1,0,0,0,0,13:58,0:00,0:00,51,108,0,6.70,
Adam Gaudette,Buffalo,C/RW,82,12,26,38,-16,4,0,0,0,0,1,1,1,0,4,0,131,9.2,11,11,96,0.46,64,2,0,0,0,0,0,0,13:37,0:02,0:22,56,72,0,6.59,
Dawson Mercer,Arizona,C,82,12,26,38,-16,8,0,0,0,0,0,0,3,0,1,0,103,11.7,11,11,45,0.56,51,4,0,0,0,0,0,0,14:13,0:03,0:00,61,77,0,6.38,
Mario Ferraro,Vegas,LD,82,7,31,38,-16,26,1,5,6,0,0,0,0,0,1,0,115,6.1,34,27,200,0,133,13,0,0,0,0,0,0,21:13,1:57,0:57,116,132,0,7.17,
Juuso Välimäki,Dallas,LD/RD,82,7,31,38,24,50,0,1,1,0,1,1,1,0,0,0,134,5.2,15,31,201,0,119,20,0,1,0,0,0,0,19:10,0:04,1:07,105,81,2,7.28,
Mike Koster,Toronto,LD,82,6,32,38,4,14,1,3,4,0,0,0,0,0,0,0,132,4.5,78,33,56,0,103,7,0,0,0,0,0,0,19:26,0:29,0:41,105,101,1,7.28,
Ryan Murray,Columbus,LD/RD,82,6,32,38,7,16,1,5,6,0,0,0,0,0,0,0,113,5.3,13,44,298,0,133,8,0,0,0,0,0,0,20:27,0:45,0:45,100,93,1,7.30,
Luke Green,Columbus,RD/LD,77,6,32,38,26,18,1,2,3,0,0,0,1,0,3,0,82,7.3,15,27,124,0,117,9,0,0,0,0,0,0,18:57,0:27,0:30,104,78,1,7.22,
Joe Hicketts,Pittsburgh,RD/LD,80,4,34,38,30,31,0,0,0,0,1,1,0,0,0,0,106,3.8,57,24,84,0,125,13,1,0,0,0,1,0,18:09,0:09,1:46,116,86,0,7.50,
Erik Haula,Edmonton,C,76,18,19,37,-27,4,0,0,0,0,0,0,1,0,1,0,93,19.4,5,8,43,0.53,42,2,0,0,0,0,0,0,13:22,0:13,0:18,48,75,0,6.41,
Jeremy Bracco,Colorado,RW,78,15,22,37,-6,8,0,0,0,0,0,0,0,0,0,0,103,14.6,1,13,7,0,12,4,0,0,0,0,0,0,12:34,0:00,0:00,54,60,0,6.97,
Sam Bennett,Columbus,LW/C/RW,76,15,22,37,-7,19,0,0,0,0,0,0,2,0,2,0,139,10.8,17,20,43,0.00,28,7,1,0,0,0,1,0,12:56,0:00,0:02,53,60,2,7.25,
Artur Brovkin,New Jersey,RW/LW,71,11,26,37,5,16,0,0,0,0,0,0,0,0,0,0,146,7.5,27,22,11,0,32,8,0,0,0,0,0,0,14:49,0:14,0:39,50,45,1,6.80,
Gavin Bayreuther,Dallas,LD,82,9,28,37,37,20,1,0,1,0,0,0,2,2,1,0,123,7.3,10,16,96,0,74,10,0,0,0,0,0,0,18:38,0:38,0:16,108,71,2,7.38,
Dmitry Orlov,Carolina,LD,82,8,29,37,23,34,2,2,4,0,0,0,1,0,1,0,136,5.9,20,39,274,0,153,17,0,0,0,0,0,0,20:43,0:27,1:20,113,90,0,7.41,
Frédéric Allard,Ottawa,RD,82,8,29,37,10,42,2,6,8,0,0,0,1,0,2,0,106,7.5,10,39,108,0,114,16,0,1,0,0,0,0,20:51,0:53,0:56,93,83,1,6.98,
Trevor Murphy,Colorado,LD,82,8,29,37,3,54,0,3,3,0,0,0,2,0,0,0,55,14.5,4,19,57,0,103,17,0,2,0,0,0,0,16:09,0:37,0:03,75,72,1,7.04,
Guillaume Brisebois,Buffalo,LD,73,7,30,37,20,8,1,0,1,0,0,0,4,0,1,0,78,9.0,6,16,59,0,73,4,0,0,0,0,0,0,15:35,0:23,0:06,92,72,1,7.34,
Evander Kane,Anaheim,LW,57,20,16,36,-5,34,2,6,8,0,0,0,1,0,2,0,156,12.8,14,17,33,0,34,12,0,1,0,0,0,0,14:41,1:36,0:00,42,47,1,7.26,
Brock Nelson,Calgary,C/LW,82,19,17,36,-61,98,4,5,9,0,0,0,0,0,2,0,131,14.5,113,8,27,0.50,64,39,0,2,0,0,0,0,15:29,0:52,0:56,46,107,0,6.29,
Scott Laughton,Toronto,C,82,18,18,36,-19,24,0,0,0,0,0,0,4,0,0,0,157,11.5,7,14,36,0,40,7,0,1,0,0,0,0,13:27,0:00,0:00,62,81,1,6.89,
Brendan Gallagher,Montreal,RW,63,16,20,36,-7,2,1,1,2,0,0,0,4,0,1,0,164,9.8,24,19,27,0,48,1,0,0,0,0,0,0,16:07,0:33,0:43,53,60,2,7.13,
Nick Leddy,NY Rangers,LD,71,10,26,36,8,34,2,4,6,1,0,1,0,0,0,0,167,6.0,91,39,97,0,162,17,0,0,0,0,0,0,24:04,0:57,2:30,91,83,3,7.63,
Mikhail Sergachev,Dallas,LD/RD,82,8,28,36,26,90,0,1,1,0,0,0,0,0,0,0,194,4.1,18,40,225,0,136,40,0,1,0,0,0,0,21:18,0:52,1:01,112,86,0,7.32,
Zion Nybeck,San Diego,RW/LW,58,17,18,35,-18,6,0,2,2,0,0,0,1,1,4,0,184,9.2,5,22,7,0,37,3,0,0,0,0,0,0,14:54,0:51,0:08,44,62,4,6.98,
Jakob Forsbacka-Karlsson,Buffalo,C/LW,82,15,20,35,-16,2,0,0,0,1,0,1,0,0,1,0,116,12.9,6,15,71,0.56,37,1,0,0,0,0,0,0,12:47,0:01,0:24,55,71,1,7.35,
Trevor Kuntar,Toronto,C,71,11,24,35,-25,2,0,1,1,0,0,0,1,0,0,0,102,10.8,7,15,68,0.49,62,1,0,0,0,0,0,0,13:57,0:04,0:04,46,71,0,6.42,
Maxime Lajoie,Ottawa,LD,82,6,29,35,2,24,0,2,2,0,0,0,0,0,2,0,106,5.7,14,32,64,0,123,12,0,0,0,0,0,0,20:05,0:29,0:30,91,89,0,7.13,
Urho Vaakanainen,Washington,RD,65,5,30,35,-1,44,0,3,3,0,0,0,0,0,1,0,109,4.6,8,21,86,0,97,17,0,1,0,0,0,0,20:45,1:09,0:50,87,88,0,7.15,
Philip Broberg,Florida,LD/RD,82,2,33,35,12,28,0,0,0,0,1,1,1,0,0,0,91,2.2,26,48,348,0,123,9,0,1,0,0,0,0,19:16,0:00,0:49,95,83,0,7.12,
Nick Ritchie,St. Louis,LW,80,20,14,34,-18,23,0,0,0,0,0,0,3,0,2,0,158,12.7,20,16,68,0,38,9,1,0,0,0,1,0,13:15,0:00,0:14,51,69,2,7.05,
Jake Debrusk,Winnipeg,LW,70,15,19,34,-3,8,0,0,0,0,0,0,1,0,3,0,127,11.8,7,13,31,0,31,4,0,0,0,0,0,0,13:11,0:05,0:00,49,52,0,7.11,
Konstantin Dubin,Carolina,RW,59,12,22,34,10,2,0,1,1,0,0,0,3,0,0,0,155,7.7,12,12,2,0,23,1,0,0,0,0,0,0,13:24,0:29,0:01,52,42,3,7.19,
Zack Stringer,Montreal,LW/RW,82,11,23,34,-46,2,0,1,1,0,0,0,2,0,2,0,170,6.5,19,15,6,0,63,1,0,0,0,0,0,0,14:31,0:33,0:00,54,100,1,6.91,
Yven Lepers,Columbus,C,69,10,24,34,-14,6,0,0,0,0,0,0,2,0,1,0,75,13.3,3,5,6,0.36,28,3,0,0,0,0,0,0,13:46,0:00,0:00,48,62,0,6.12,
Dillon Hamaliuk,San Jose,LW,69,7,27,34,-13,4,0,0,0,0,0,0,1,0,1,0,114,6.1,22,21,121,0,51,2,0,0,0,0,0,0,14:01,0:00,0:32,49,62,0,6.96,
Kaiden Guhle,Washington,LD/RD,82,6,28,34,12,4,0,5,5,0,0,0,0,0,1,0,134,4.5,25,36,99,0,104,2,0,0,0,0,0,0,19:05,0:41,0:18,115,103,1,7.18,
Will Butcher,New Jersey,LD,70,6,28,34,20,16,0,6,6,0,0,0,2,0,0,0,103,5.8,16,17,167,0,116,8,0,0,0,0,0,0,21:49,1:18,1:29,91,71,0,7.36,
Bowen Byram,Colorado,LD,82,3,31,34,0,8,0,1,1,0,0,0,0,0,0,0,82,3.7,13,31,163,0,109,4,0,0,0,0,0,0,16:03,0:13,0:40,87,87,0,7.16,
Ty Smith,New Jersey,LD/RD,82,3,31,34,18,12,0,6,6,0,0,0,0,0,0,0,125,2.4,20,37,181,0,126,6,0,0,0,0,0,0,19:59,0:33,0:29,110,92,1,7.11,
Tomas Karal,Edmonton,RD,82,3,31,34,3,14,0,3,3,0,0,0,0,0,0,0,113,2.7,19,63,320,0,139,7,0,0,0,0,0,0,20:52,0:25,1:09,115,112,0,6.66,
Giovanni Vallati,Montreal,LD,82,2,32,34,7,14,0,3,3,0,0,0,0,0,1,0,81,2.5,15,28,71,0,97,7,0,0,0,0,0,0,15:56,0:23,0:10,87,80,0,7.24,
Parker Kelly,Ottawa,C/RW,69,20,13,33,-14,4,0,0,0,0,0,0,2,0,1,0,134,14.9,9,7,47,0.49,37,2,0,0,0,0,0,0,12:45,0:00,0:00,44,58,0,6.67,
Vince Hinostroza,Carolina,RW/LW/C,78,16,17,33,4,10,0,0,0,0,0,0,7,0,3,0,107,15.0,6,14,14,0.00,22,5,0,0,0,0,0,0,12:00,0:06,0:00,51,47,0,7.06,
Dante Fabbro,Tampa Bay,RD,82,6,27,33,49,10,1,2,3,0,0,0,0,0,0,0,131,4.6,30,32,356,0,121,5,0,0,0,0,0,0,17:54,1:02,1:34,129,80,2,7.63,
Lleyton Moore,Vegas,LD/RD,82,6,27,33,-29,16,1,3,4,0,0,0,1,0,0,0,94,6.4,13,21,25,0,90,8,0,0,0,0,0,0,16:30,0:54,0:10,76,105,1,6.98,
Erik Brännström,Ottawa,RD,82,5,28,33,13,18,2,8,10,0,0,0,0,0,2,0,178,2.8,21,22,194,0,140,9,0,0,0,0,0,0,21:48,1:57,1:09,101,88,1,7.44,
Dylan DeMelo,Vancouver,RD/LD,81,0,33,33,7,22,0,6,6,0,0,0,0,0,0,0,98,0.0,19,34,164,0,122,11,0,0,0,0,0,0,19:49,1:00,1:03,86,79,0,7.15,
Christian Fischer,Arizona,RW/C,73,15,17,32,-18,10,0,0,0,0,0,0,0,0,1,0,139,10.8,18,17,25,0.23,43,5,0,0,0,0,0,0,13:23,0:00,0:09,50,68,0,6.74,
Jacob Peterson,New Jersey,C/LW,65,13,19,32,4,6,0,0,0,0,0,0,0,0,1,0,109,11.9,18,14,25,0.49,57,3,0,0,0,0,0,0,14:27,0:00,0:56,46,42,0,6.66,
Connor Zary,Detroit,C,78,12,20,32,-32,8,0,0,0,0,0,0,1,1,0,0,137,8.8,12,20,3,0,24,4,0,0,0,0,0,0,13:05,0:00,0:00,48,80,0,6.71,
Otto Leskinen,Washington,LD,78,10,22,32,-17,12,0,0,0,0,0,0,0,0,0,0,104,9.6,10,21,48,0,89,6,0,0,0,0,0,0,16:39,0:00,0:28,97,114,1,7.01,
Kale Clague,Toronto,LD,71,7,25,32,-16,4,1,1,2,0,0,0,1,0,2,0,82,8.5,5,30,29,0,91,2,0,0,0,0,0,0,18:16,0:15,0:05,81,97,1,7.03,
Jérémie Poirier,Carolina,LD/RD,84,7,25,32,-30,20,1,5,6,0,0,0,3,0,0,0,136,5.1,31,29,19,0,95,10,0,0,0,0,0,0,20:24,1:43,0:50,85,115,0,6.89,
Brady Skjei,San Jose,LD,80,7,25,32,1,30,0,2,2,0,0,0,0,0,2,0,106,6.6,19,56,301,0,143,15,0,0,0,0,0,0,23:17,0:39,1:09,106,105,0,7.01,
Jake Muzzin,Anaheim,LD,77,4,28,32,10,36,0,1,1,0,0,0,0,0,0,0,129,3.1,15,28,177,0,120,18,0,0,0,0,0,0,21:28,0:44,0:57,110,100,0,7.12,
Nikita Sedov,Detroit,LD,82,3,29,32,-52,38,0,0,0,0,0,0,0,0,1,0,75,4.0,7,22,9,0,99,19,0,0,0,0,0,0,16:47,0:00,0:06,85,137,0,6.56,
Derrick Pouliot,Vegas,LD,72,3,29,32,2,72,0,2,2,0,0,0,1,0,0,0,91,3.3,40,23,92,0,108,26,0,2,0,0,0,0,18:37,0:28,0:37,95,93,1,7.13,
Oskari Laaksonen,Anaheim,RD,78,2,30,32,-18,10,0,0,0,0,0,0,0,0,1,0,93,2.2,5,19,79,0,101,5,0,0,0,0,0,0,18:54,0:07,0:21,82,100,1,6.95,
Matt Grzelcyk,Boston,LD,82,2,30,32,20,16,0,2,2,0,1,1,0,0,0,0,108,1.9,7,24,89,0,117,8,0,0,0,0,0,0,19:19,0:21,0:44,108,88,0,7.41,
Alex Formenton,Ottawa,LW,74,15,16,31,-7,2,0,0,0,0,0,0,1,0,4,0,184,8.2,19,20,109,0,39,1,0,0,0,0,0,0,13:51,0:00,0:00,52,59,0,7.11,
Jack McBain,Toronto,C,58,15,16,31,-23,10,0,0,0,0,0,0,2,1,3,0,97,15.5,27,12,17,0.52,37,5,0,0,0,0,0,0,14:41,0:01,0:00,43,66,2,6.55,
Lucas Rowe,Calgary,RW,82,15,16,31,-47,39,4,3,7,2,0,2,0,0,3,0,115,13.0,185,21,11,0.10,65,12,1,1,0,0,1,0,14:09,0:38,1:24,36,83,1,6.85,
Danil Antropov,Washington,C/LW/RW,80,13,18,31,-30,10,0,0,0,0,0,0,1,0,4,0,119,10.9,22,5,55,0.42,50,5,0,0,0,0,0,0,14:17,0:00,0:34,50,80,0,6.41,
Nick Bjugstad,Minnesota,C/RW,72,13,18,31,-19,26,0,0,0,0,0,0,0,0,0,0,121,10.7,15,9,58,0.48,38,13,0,0,0,0,0,0,14:35,0:00,0:00,54,73,0,6.10,
Alexey Gildon,San Jose,C/LW,68,12,19,31,-24,2,0,0,0,0,0,0,2,0,1,0,146,8.2,9,11,56,0.55,57,1,0,0,0,0,0,0,14:00,0:00,0:34,50,74,1,6.34,
Cam Dineen,Arizona,LD/RD,82,8,23,31,-37,18,2,3,5,0,0,0,1,1,0,0,121,6.6,18,25,89,0,119,9,0,0,0,0,0,0,19:46,1:01,0:55,82,119,0,6.94,
Justin Barron,New Jersey,RD,62,8,23,31,17,26,0,3,3,0,0,0,0,0,3,0,76,10.5,16,31,167,0,108,13,0,0,0,0,0,0,19:51,0:48,0:35,80,63,1,7.29,
Ryan Merkley,San Jose,RD/LD,65,5,26,31,0,20,1,3,4,0,0,0,1,0,0,0,74,6.8,9,18,22,0,69,5,0,1,0,0,0,0,18:06,0:59,0:13,70,70,2,7.22,
Mikko Kokkonen,Toronto,LD,82,2,29,31,-1,18,0,0,0,0,0,0,0,0,0,0,110,1.8,118,28,112,0,130,9,0,0,0,0,0,0,19:10,0:00,0:10,110,111,0,7.24,
Colby Ambrosio,Boston,LW/C,64,23,7,30,-6,2,0,0,0,0,0,0,2,1,2,0,247,9.3,13,20,3,0,23,1,0,0,0,0,0,0,13:05,0:14,0:00,53,59,2,7.14,
Cole Caufield,Dallas,RW/C,67,14,16,30,-3,2,0,0,0,0,0,0,6,0,2,0,158,8.9,5,9,2,0,22,1,0,0,0,0,0,0,12:48,0:00,0:00,51,54,2,7.00,
Blake Biondi,Columbus,RW,72,14,16,30,-11,2,0,0,0,0,0,0,2,0,2,0,127,11.0,13,19,4,0,42,1,0,0,0,0,0,0,13:50,0:00,0:00,49,60,1,6.83,
Rourke Chartier,Detroit,C,68,11,19,30,-49,8,0,0,0,0,0,0,0,0,1,0,122,9.0,13,20,34,0,27,4,0,0,0,0,0,0,13:56,0:00,0:00,40,89,0,6.66,
Anthony Duclair,Ottawa,RW/LW,82,8,22,30,-27,8,1,0,1,0,0,0,1,0,0,0,164,4.9,12,16,12,0,37,4,0,0,0,0,0,0,13:32,0:17,0:00,44,71,1,6.95,
Anders Bjork,Anaheim,LW/RW,73,8,22,30,-17,18,0,1,1,0,0,0,2,0,1,0,144,5.6,7,16,49,0.00,52,4,0,1,0,0,0,0,13:24,0:09,0:24,44,61,0,7.04,
Daemon Hunt,Los Angeles,LD/RD,82,5,25,30,-34,52,1,3,4,0,0,0,0,0,0,0,114,4.4,13,32,70,0,153,21,0,1,0,0,0,0,23:28,1:40,1:19,90,124,0,6.95,
Ryder Rolston,Los Angeles,RW/C,65,15,14,29,-30,2,0,0,0,0,0,0,0,0,2,0,90,16.7,10,13,3,0.06,30,1,0,0,0,0,0,0,13:46,0:00,0:00,41,71,0,6.38,
Dominik Kubalík,Nashville,LW,49,14,15,29,-36,6,1,1,2,0,0,0,1,0,1,0,130,10.8,7,9,29,0.10,36,3,0,0,0,0,0,0,15:24,0:42,0:35,32,68,1,6.98,
Jake Leschyshyn,Vegas,C,50,14,15,29,-11,22,0,1,1,0,0,0,2,0,1,0,87,16.1,5,12,60,0.54,46,6,0,1,0,0,0,0,14:51,0:27,0:34,42,53,2,6.56,
Luke Kunin,Colorado,RW/C,54,12,17,29,-2,4,0,0,0,0,0,0,1,0,2,0,106,11.3,4,7,5,0.03,19,2,0,0,0,0,0,0,12:54,0:00,0:00,37,39,1,6.85,
Dylan Jackson,Nashville,RW,65,11,18,29,-30,2,0,0,0,0,0,0,1,0,3,0,82,13.4,4,5,5,0,29,1,0,0,0,0,0,0,13:44,0:00,0:00,35,65,1,6.83,
Josh Mahura,Edmonton,LD,80,8,21,29,-12,8,0,1,1,0,1,1,0,0,0,0,113,7.1,72,34,100,0,75,4,0,0,0,0,0,0,15:07,0:06,0:41,76,88,0,6.94,
David Aebischer,Montreal,RD/LD,82,8,21,29,-4,10,1,0,1,0,0,0,2,0,0,0,84,9.5,26,27,29,0,90,5,0,0,0,0,0,0,17:00,0:37,0:45,88,92,1,6.91,
Jesper Lindgren,Washington,RD,80,4,25,29,-9,10,2,2,4,0,0,0,1,0,0,0,90,4.4,15,33,61,0,98,5,0,0,0,0,0,0,18:58,0:56,0:36,93,102,0,7.00,
Joel Persson,Winnipeg,RD,73,4,25,29,-32,10,0,2,2,0,0,0,1,0,0,0,101,4.0,6,18,76,0,91,5,0,0,0,0,0,0,17:09,0:39,0:07,78,110,0,6.96,
Nikita Zaitsev,Philadelphia,RD,69,4,25,29,5,20,0,3,3,0,0,0,2,0,0,0,103,3.9,27,22,106,0,85,10,0,0,0,0,0,0,19:54,0:34,0:50,90,85,1,7.20,
Ryan Ellis,Nashville,RD,82,3,26,29,-64,22,0,6,6,0,0,0,0,0,0,0,104,2.9,16,23,117,0,181,11,0,0,0,0,0,0,21:33,1:19,0:57,66,130,0,6.88,
Evan Bouchard,Chicago,RD/LD,82,2,27,29,2,14,0,0,0,0,0,0,0,0,0,0,135,1.5,11,28,132,0,90,7,0,0,0,0,0,0,19:19,0:02,0:39,121,119,0,7.20,
Neal Pionk,Winnipeg,RD/LD,77,1,28,29,-3,26,0,0,0,0,1,1,1,0,0,0,109,0.9,20,33,124,0,150,13,0,0,0,0,0,0,21:42,0:37,1:27,100,103,1,7.04,
Mirco Müller,Philadelphia,LD/RD,74,1,28,29,4,30,0,2,2,0,0,0,0,0,0,0,60,1.7,33,44,223,0,105,10,0,1,0,0,0,0,18:44,1:05,0:58,85,81,0,7.04,
Curtis Hall,NY Rangers,C,62,14,14,28,-14,12,0,0,0,0,0,0,1,1,1,0,84,16.7,52,4,14,0.41,41,6,0,0,0,0,0,0,15:20,0:00,1:48,41,55,0,6.27,
Emil Bemström,Los Angeles,C/RW,48,12,16,28,-17,4,0,0,0,0,0,0,2,0,2,0,87,13.8,4,10,16,0.38,37,2,0,0,0,0,0,0,15:01,0:01,0:24,34,51,0,6.15,
Morgan Barron,Chicago,C,49,11,17,28,-2,10,0,0,0,0,0,0,2,0,1,0,114,9.6,11,10,74,0.56,51,5,0,0,0,0,0,0,14:03,0:00,0:06,48,50,0,6.61,
Lawrence Pilut,Tampa Bay,LD/RD,71,7,21,28,-19,16,0,0,0,0,0,0,3,0,1,0,91,7.7,7,22,58,0,58,8,0,0,0,0,0,0,15:11,0:00,0:12,80,99,0,7.00,
Vince Dunn,St. Louis,LD,77,7,21,28,17,34,0,0,0,0,0,0,2,0,1,0,98,7.1,21,19,129,0,88,17,0,0,0,0,0,0,18:52,0:10,0:49,105,88,2,7.03,
Devon Toews,NY Islanders,LD,82,5,23,28,-3,24,1,0,1,0,0,0,0,0,0,0,111,4.5,19,28,195,0,113,12,0,0,0,0,0,0,19:32,0:00,0:21,106,109,1,7.22,
Nicolas Meloche,Florida,RD,75,4,24,28,2,22,0,1,1,0,0,0,1,0,1,0,106,3.8,13,24,108,0,75,11,0,0,0,0,0,0,18:45,0:13,0:09,79,77,1,6.92,
Adam Larsson,Anaheim,RD,82,3,25,28,-23,24,0,3,3,0,1,1,0,0,0,0,113,2.7,34,43,242,0,162,12,0,0,0,0,0,0,21:43,1:19,1:10,84,107,0,6.77,
Victor Söderström,Arizona,LD/RD,80,2,26,28,-36,10,0,2,2,0,0,0,0,0,0,0,84,2.4,3,30,37,0,98,5,0,0,0,0,0,0,16:36,0:16,0:09,71,107,0,6.93,
T.J. Brodie,Calgary,LD/RD,82,2,26,28,-37,30,0,3,3,0,1,1,0,0,0,0,136,1.5,69,51,143,0,237,15,0,0,0,0,0,0,23:32,0:50,4:35,81,118,0,7.10,
Drayson Lombardi,Wilkes-Barre/Scranton,RW,23,15,12,27,10,6,0,1,1,0,0,0,2,0,3,0,89,16.9,17,8,0,0.00,15,3,0,0,0,0,0,0,16:26,1:39,0:12,37,27,2,7.87,
Anttoni Honka,Nashville,RD,82,13,14,27,-82,5,0,2,2,0,0,0,0,0,1,0,78,16.7,22,13,49,0.01,55,0,1,0,0,0,0,0,15:37,0:50,0:10,50,132,0,6.07,
Adam Lowry,Ontario,C,58,11,16,27,-35,78,0,0,0,0,1,1,1,0,1,0,80,13.8,12,15,58,0.51,38,14,4,3,0,0,4,2,15:02,0:00,0:53,37,72,1,5.83,
Nick Merkley,Boston,RW/C,73,9,18,27,-33,6,0,0,0,0,0,0,2,0,0,0,103,8.7,11,11,11,0,34,3,0,0,0,0,0,0,13:14,0:00,0:01,51,84,1,7.00,
Daniil Chayka,Nashville,RD/LD,74,9,18,27,-67,16,0,0,0,0,0,0,1,0,0,0,115,7.8,15,22,44,0,59,8,0,0,0,0,0,0,14:38,0:00,0:01,48,115,1,6.64,
Nick Perna,Nashville,LD,82,6,21,27,-67,8,0,0,0,0,0,0,1,0,1,0,94,6.4,32,26,177,0,98,4,0,0,0,0,0,0,17:21,0:00,0:15,64,131,0,6.60,
Jake Virtanen,St. Louis,RW,61,5,22,27,-29,14,0,0,0,0,0,0,0,0,1,0,109,4.6,21,18,33,0,38,7,0,0,0,0,0,0,13:52,0:02,0:00,34,63,0,6.74,
Ville Heinola,Winnipeg,LD/RD,82,4,23,27,17,32,0,2,2,0,0,0,1,0,0,0,93,4.3,29,38,125,0,147,16,0,0,0,0,0,0,19:43,0:24,1:06,96,79,0,6.89,
Ryan Poehling,St. Louis,C,51,13,13,26,-14,14,0,0,0,0,0,0,4,0,2,0,97,13.4,24,11,83,0.48,48,7,0,0,0,0,0,0,13:54,0:00,0:56,30,44,2,6.75,
Denis Zernov,Montreal,C/RW/LW,55,11,15,26,-5,8,0,0,0,0,0,0,1,0,1,0,81,13.6,13,8,8,0,27,4,0,0,0,0,0,0,13:38,0:00,0:00,43,48,2,7.02,
Simon Holmström,NY Islanders,RW,61,10,16,26,-10,2,0,0,0,0,0,0,1,0,0,0,112,8.9,13,11,3,0,23,1,0,0,0,0,0,0,12:54,0:00,0:00,39,49,1,7.05,
P.K. Subban,Calgary,RD/LD,82,7,19,26,-64,116,2,2,4,0,2,2,1,0,0,0,134,5.2,193,58,81,0,237,53,0,1,0,0,0,0,25:23,0:48,4:19,80,144,1,7.04,
Braden Schneider,NY Islanders,RD,82,5,21,26,-33,24,0,0,0,0,0,0,1,0,1,0,82,6.1,35,28,207,0,106,12,0,0,0,0,0,0,18:24,0:01,0:03,91,124,0,6.56,
Tim Heed,Detroit,RD,82,4,22,26,-17,6,1,9,10,0,1,1,1,0,0,0,108,3.7,15,34,35,0,133,3,0,0,0,0,0,0,20:49,1:23,1:11,87,104,0,6.85,
Erik Gustafsson,Boston,LD/RD,58,4,22,26,6,35,0,5,5,0,0,0,0,0,1,0,82,4.9,11,31,143,0,76,10,1,1,0,0,1,0,20:25,0:58,1:07,66,60,0,7.10,
Jake Lee,Edmonton,LD,76,4,22,26,-25,50,0,0,0,0,0,0,0,0,0,0,116,3.4,44,35,316,0,146,20,0,1,0,0,0,0,21:07,0:17,1:25,93,118,0,6.63,
Alex Newhook,Vancouver,C,53,16,9,25,-2,6,0,0,0,0,0,0,1,1,3,0,84,19.0,1,8,39,0.41,43,3,0,0,0,0,0,0,12:24,0:00,0:00,37,39,0,6.38,
