Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,Av R,
Dillon Dubé,Vancouver,C/RW,81,21,27,48,-1,10,0,0,0,0,0,0,1,0,2,0,146,14.4,7,13,54,0.52,57,5,0,0,0,0,0,0,14:17,0:03,0:00,61,62,1,6.79,
Esbjörn Mellqvist,Minnesota,C/RW,76,20,28,48,-4,4,0,2,2,0,0,0,2,1,3,0,118,16.9,6,17,9,0.61,27,2,0,0,0,0,0,0,13:40,0:19,0:00,54,58,0,7.11,
Hampus Lindholm,Montreal,LD,82,10,38,48,22,22,0,1,1,0,0,0,0,0,0,0,189,5.3,26,56,427,0,129,11,0,0,0,0,0,0,26:24,0:46,0:52,147,125,3,7.41,
Damon Severson,Colorado,RD,73,10,38,48,51,32,1,5,6,0,0,0,1,0,2,0,163,6.1,19,26,262,0,100,16,0,0,0,0,0,0,25:21,0:57,0:41,133,82,0,7.81,
Riley Sutter,Edmonton,RW/LW,82,24,23,47,-8,18,0,0,0,0,0,0,1,0,4,0,175,13.7,43,14,76,0,41,4,2,0,0,0,2,2,12:36,0:05,0:00,71,79,0,7.12,
Tyler Sheehy,Washington,RW/C,82,19,28,47,-33,6,2,1,3,0,0,0,0,0,1,0,175,10.9,13,7,40,0,26,3,0,0,0,0,0,0,14:02,0:35,0:00,59,92,1,7.15,
Jack Drury,Tampa Bay,C,82,16,31,47,-11,2,0,0,0,0,0,0,2,0,1,0,95,16.8,8,14,28,0.51,63,1,0,0,0,0,0,0,14:06,0:00,1:11,66,77,0,6.35,
Seth Jarvis,NY Rangers,RW,82,16,31,47,9,10,0,2,2,0,0,0,0,0,1,0,148,10.8,19,23,2,0,33,5,0,0,0,0,0,0,13:05,0:20,0:00,62,53,1,7.00,
K'Andre Miller,Tampa Bay,LD,82,11,36,47,37,30,1,5,6,0,1,1,2,1,3,0,177,6.2,170,37,95,0,123,15,0,0,0,0,0,0,19:57,1:04,1:44,121,84,2,7.80,
Nate Schmidt,Minnesota,LD/RD,81,9,38,47,16,20,1,2,3,0,0,0,0,0,2,0,158,5.7,22,37,239,0,148,10,0,0,0,0,0,0,26:33,0:52,0:22,129,113,3,7.47,
Troy Stecher,St. Louis,RD,84,5,42,47,22,45,0,0,0,0,2,2,0,0,1,0,150,3.3,15,31,211,0,127,15,1,1,0,0,1,0,20:47,0:18,0:42,126,104,0,7.42,
