Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Kirill Nizhnikov,Detroit,LW/RW,44,4,7,11,-43,0,1,0,1,0,0,0,1,0,1,0,72,5.6,11,12,2,0,6,0,0,0,0,0,0,0,12:17,0:25,0:00,17,60,0,6.32,
Dylan Jackson,Tucson,RW,23,4,7,11,-2,2,0,0,0,0,0,0,0,0,0,0,22,18.2,1,4,0,0,7,1,0,0,0,0,0,0,12:36,0:00,0:00,17,19,0,6.83,
Calvin De Haan,Texas,LD/RD,65,3,8,11,-27,14,0,0,0,0,0,0,0,0,1,0,61,4.9,45,29,88,0,133,7,0,0,0,0,0,0,17:26,0:15,2:41,44,71,0,6.72,
Yegor Rykov,NY Rangers,LD/RD,34,1,10,11,-10,6,0,0,0,0,0,0,0,0,0,0,42,2.4,6,7,75,0,32,3,0,0,0,0,0,0,17:30,0:20,0:23,27,37,0,6.62,
Marcus Pettersson,Pittsburgh,LD/RD,43,0,11,11,-11,24,0,0,0,0,0,0,0,0,0,0,54,0.0,32,8,43,0,55,12,0,0,0,0,0,0,15:52,0:17,0:11,41,52,0,6.81,
Liam Kirk,Tucson,LW/C,23,6,4,10,2,4,0,0,0,0,0,0,1,0,0,0,62,9.7,5,1,2,0,4,2,0,0,0,0,0,0,13:06,0:00,0:00,15,13,1,7.04,
Mathias Emilio Pettersen,Stockton,C,39,2,8,10,-23,14,0,0,0,0,0,0,0,0,0,0,29,6.9,31,4,9,0.33,27,7,0,0,0,0,0,0,11:36,0:00,0:00,12,35,0,6.13,
Klim Kostin,Pittsburgh,C/LW/RW,37,2,8,10,-2,38,0,0,0,0,0,0,0,0,0,0,38,5.3,46,10,9,0.28,38,9,0,2,0,0,0,0,12:01,0:00,1:25,14,16,0,6.54,
Marc-Édouard Vlasic,Boston,LD,13,0,10,10,16,4,0,0,0,0,0,0,0,0,0,0,14,0.0,5,5,39,0,19,2,0,0,0,0,0,0,19:00,0:03,1:26,27,11,0,7.54,
Joe Snively,Washington,LW,21,5,4,9,-14,0,0,1,1,0,0,0,0,0,0,0,37,13.5,3,1,1,0,4,0,0,0,0,0,0,0,14:54,0:47,0:00,9,23,0,6.71,
