Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Ryan Poehling,Montreal,C,11,1,2,3,-1,0,0,0,0,0,0,0,0,0,1,0,10,10.0,10,2,4,0.44,5,0,0,0,0,0,0,0,13:45,0:00,0:44,4,5,0,6.09,
Lukás Radil,San Jose,LW/RW/C,15,1,2,3,-10,0,0,0,0,0,0,0,0,0,0,0,31,3.2,7,1,0,0,10,0,0,0,0,0,0,0,13:04,0:00,0:20,4,14,0,6.67,
Morgan Frost,San Diego,C,4,1,2,3,0,2,0,1,1,0,0,0,0,0,0,0,6,16.7,5,0,0,0.66,3,1,0,0,0,0,0,0,13:30,1:42,0:00,2,2,0,7.50,
Vladislav Kamenev,Colorado,C/LW,10,1,2,3,-8,4,0,0,0,0,0,0,1,0,1,0,14,7.1,4,2,7,0.43,3,2,0,0,0,0,0,0,12:55,0:00,0:00,3,11,0,6.10,
Laurent Dauphin,Nashville,C/LW,27,1,2,3,-17,6,0,0,0,0,0,0,0,1,0,0,36,2.8,11,6,6,0.34,10,3,0,0,0,0,0,0,12:58,0:00,0:00,9,26,0,5.85,
Nick Lappin,St. Louis,RW,23,1,2,3,-2,14,0,0,0,0,0,0,0,0,0,0,31,3.2,19,2,6,0.11,10,7,0,0,0,0,0,0,12:19,0:00,0:00,7,9,0,6.78,
Madison Bowey,Detroit,RD,18,1,2,3,-4,14,0,0,0,0,0,0,0,0,0,0,11,9.1,27,2,5,0,32,7,0,0,0,0,0,0,17:29,0:00,1:32,10,14,0,6.78,
Oscar Fantenberg,Vancouver,LD,8,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,7,3,6,0,9,0,0,0,0,0,0,0,17:07,0:00,0:36,12,7,0,7.00,
Gaëtan Haas,Bakersfield,C/LW,4,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,11,0.0,1,0,0,0.60,0,0,0,0,0,0,0,0,16:27,2:45,0:00,2,2,0,6.50,
Brett Kulak,Laval,LD,9,0,3,3,0,2,0,3,3,0,0,0,0,0,0,0,10,0.0,1,2,11,0,6,1,0,0,0,0,0,0,19:08,1:44,0:00,8,8,0,6.44,
Jay Bouwmeester,Tampa Bay,LD,6,0,3,3,-4,2,0,0,0,0,0,0,0,0,0,0,7,0.0,5,4,3,0,10,1,0,0,0,0,0,0,16:44,0:00,0:00,6,10,0,7.17,
Erik Cernák,Syracuse,RD,11,0,3,3,7,4,0,0,0,0,0,0,0,0,0,0,13,0.0,20,9,15,0,23,2,0,0,0,0,0,0,19:43,0:01,3:17,14,7,0,6.91,
Noah Juulsen,Laval,RD/LD,18,0,3,3,-1,4,0,0,0,0,0,0,0,0,0,0,17,0.0,5,3,4,0,23,2,0,0,0,0,0,0,17:39,0:00,0:32,17,18,0,6.67,
Joseph Veleno,Drummondville,C,22,0,3,3,-10,6,0,0,0,0,0,0,0,0,0,0,18,0.0,17,2,3,0.51,7,3,0,0,0,0,0,0,11:57,0:00,0:00,6,16,0,6.09,
Brian Lashoff,Detroit,RD/LD,12,0,3,3,-4,8,0,0,0,0,0,0,0,0,0,0,3,0.0,24,8,5,0,28,4,0,0,0,0,0,0,18:38,0:00,3:07,6,10,0,6.67,
Alex Biega,Vancouver,RD,13,0,3,3,4,12,0,0,0,0,1,1,0,0,0,0,17,0.0,29,11,7,0,26,6,0,0,0,0,0,0,19:46,0:23,3:03,15,11,0,6.92,
Tyler Lewington,Washington,RD,12,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,2,0.0,28,6,4,0,19,6,0,0,0,0,0,0,19:10,0:00,2:26,8,8,0,6.25,
Justin Braun,Philadelphia,RD,36,0,3,3,0,12,0,0,0,0,1,1,0,0,0,0,37,0.0,52,14,31,0,43,6,0,0,0,0,0,0,17:04,0:02,1:22,27,27,0,6.92,
Will Bitten,Minnesota,RW/C,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,22.2,0,1,1,0.67,1,0,0,0,0,0,0,0,15:34,1:20,0:00,2,2,0,7.33,
Brad Malone,Bakersfield,C/LW,3,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,3,33.3,5,0,2,0.30,3,1,0,0,0,0,0,0,14:00,0:00,1:24,3,1,0,7.00,
Andrew Mangiapane,Calgary,LW,13,1,1,2,-2,4,0,0,0,0,0,0,0,0,0,0,19,5.3,13,4,0,0,8,2,0,0,0,0,0,0,12:09,0:49,0:00,2,4,0,6.77,
Valentin Zykov,Chicago,RW/LW,10,1,1,2,-2,4,0,0,0,0,0,0,0,0,0,0,15,6.7,15,4,2,0,4,2,0,0,0,0,0,0,11:35,0:00,0:00,5,7,0,6.70,
Nic Dowd,Hershey,C/RW,7,1,1,2,0,10,0,0,0,0,0,0,0,0,1,0,7,14.3,11,4,2,0.51,5,5,0,0,0,0,0,0,13:51,0:12,0:00,2,2,0,6.29,
Jay O'Brien,Chicago,C,16,1,1,2,-13,14,0,0,0,0,0,0,0,1,0,0,25,4.0,11,2,3,0.37,6,7,0,0,0,0,0,0,13:11,0:29,0:00,3,16,0,5.56,
Roman Polák,Texas,RD,14,1,1,2,-4,18,0,0,0,0,0,0,0,0,0,0,13,7.7,35,9,10,0,17,9,0,0,0,0,0,0,18:17,0:00,1:12,9,13,0,6.21,
